Undergraduate_GPA,Relevant_DataScience_Experience ,Apply_Year,GRE_Score,IELTS_Overall,TOEFL_Overall,DataScience_Skill_Confidence,Admit_label,Degree_seeking_Type_PHD,Highest_degree_Masters,Highest_degree_Other_three_year_degree,Country_Canada,Country_Europe,Country_India,Country_United States,Uploaded_Statement_of_Purpose_Status_Y,Uploaded_Resume_Status_Y,Gender_M
3,1.584024242460428,2021,305,5,100,9,1,False,False,True,False,False,False,False,True,False,False
3,3.5041743708026347,2021,310,6,100,1,1,False,False,False,False,False,True,False,True,False,False
3,3.269950102468223,2020,303,6,90,0,0,False,False,True,False,False,False,True,False,False,False
3,3.4313516759496823,2021,301,9,90,5,1,False,False,True,False,False,True,False,True,False,False
3,4.684490347979575,2022,305,7,90,6,1,True,False,False,False,True,False,False,False,True,True
3,4.1693897993083,2022,312,6,100,7,1,False,False,False,False,False,True,False,True,True,False
3,1.1982170534472214,2021,311,5,100,3,0,False,False,True,False,False,False,True,False,False,False
3,0.5246325811730905,2021,313,9,90,6,1,True,True,False,False,False,True,False,False,False,False
3,5.835323589812324,2022,324,7,90,8,0,True,False,True,False,True,False,False,True,False,False
3,4.477739487426508,2020,307,9,90,0,1,True,False,True,False,False,False,False,True,True,True
3,2.87200614463411,2022,302,5,90,2,0,False,False,True,False,True,False,False,False,True,True
3,6.466862579984591,2022,304,6,90,4,0,True,False,True,True,False,False,False,False,True,False
3,3.1044677940876557,2022,321,6,100,6,0,False,False,False,False,True,False,False,True,False,True
3,6.36772071680486,2021,306,8,90,4,0,True,False,True,True,False,False,False,False,True,False
3,2.4460490200989975,2020,317,8,100,0,1,False,True,False,False,False,True,False,False,True,False
3,0.582762380361598,2020,305,9,90,0,1,False,False,False,True,False,False,False,True,True,True
3,7.4611175503994325,2021,317,9,100,0,1,True,True,False,False,False,True,False,True,True,False
3,3.156409034250985,2022,307,7,100,7,1,False,True,False,True,False,False,False,False,False,False
3,6.341540582795023,2021,306,6,90,6,0,False,True,False,False,True,False,False,False,False,True
3,2.2331530657784358,2021,301,6,100,2,1,False,True,False,False,False,False,True,True,True,True
3,5.170920896989248,2020,303,8,100,3,0,False,False,False,False,False,True,False,True,True,False
3,6.986486986061826,2020,322,5,90,7,1,True,False,False,True,False,False,False,True,False,False
3,0.3331521787198426,2021,308,5,100,6,0,True,True,False,False,False,False,True,False,False,False
3,6.645086117488714,2021,315,8,100,6,1,True,True,False,True,False,False,False,True,True,False
3,4.570664039775429,2020,318,9,90,5,1,False,False,False,True,False,False,False,False,True,False
3,4.859774031268554,2020,309,6,100,8,0,True,False,False,True,False,False,False,True,True,False
3,4.185264006447861,2022,307,6,100,5,0,True,False,False,False,True,False,False,True,False,False
3,6.995800826269139,2021,315,6,100,0,1,False,False,True,True,False,False,False,False,True,False
3,0.3474668578850997,2022,324,5,90,4,0,True,False,True,False,False,False,True,True,False,True
3,2.088227132286785,2022,307,9,90,7,1,True,False,True,True,False,False,False,False,True,True
3,7.006100310873243,2022,319,5,90,5,0,True,True,False,False,False,False,False,True,True,False
3,6.018765620255648,2020,303,9,100,4,0,False,False,True,False,False,True,False,True,False,False
3,0.14116128142884676,2022,322,8,90,8,0,True,True,False,False,True,False,False,True,True,False
3,4.136050265677669,2020,319,9,90,6,0,True,True,False,False,False,False,False,True,True,False
3,4.236581445701399,2020,312,5,100,6,0,True,False,True,False,False,False,False,True,True,False
3,3.207057081023283,2020,309,6,90,0,0,False,True,False,False,False,False,True,False,True,True
3,2.3791466564959176,2021,322,5,90,1,0,False,False,True,False,False,False,True,False,True,True
3,5.453798803298737,2022,324,8,100,9,1,True,False,True,False,True,False,False,False,False,True
3,1.6623237176380306,2020,308,6,90,4,1,True,False,False,False,True,False,False,True,True,False
3,6.3915884965736485,2021,324,5,90,2,1,True,False,True,False,False,True,False,True,False,True
3,6.424297286139774,2021,311,6,100,7,1,False,False,False,True,False,False,False,True,False,False
3,3.322091500582564,2021,314,8,90,3,1,False,False,True,False,True,False,False,True,False,False
3,2.268384087277181,2020,321,9,90,6,0,True,False,True,False,True,False,False,False,False,True
3,2.2710254527257057,2020,300,9,100,4,0,True,False,False,True,False,False,False,False,True,True
3,3.858330591969681,2020,311,7,100,5,0,False,False,False,False,False,True,False,True,False,False
3,5.75663379799487,2021,323,6,90,6,0,False,False,True,False,False,False,True,False,False,True
3,2.87094952795087,2020,313,8,100,7,0,True,True,False,False,False,True,False,True,False,False
3,4.880346763662012,2022,321,5,100,2,0,False,False,False,True,False,False,False,True,False,True
3,3.0598756846607547,2020,322,5,90,2,0,True,True,False,False,False,False,True,True,False,True
3,2.4361855132110666,2020,301,7,100,1,0,True,True,False,False,False,False,True,False,False,False
3,0.1988761273263533,2022,302,5,100,5,0,False,True,False,False,False,False,True,True,False,False
3,0.03131284588312511,2020,305,8,90,1,0,True,False,False,False,False,True,False,False,True,True
3,1.8176614226560357,2020,318,8,100,0,0,True,True,False,True,False,False,False,False,True,False
3,3.2512502944079635,2020,320,9,90,0,0,True,False,False,False,False,True,False,True,True,True
3,6.810089338896482,2020,312,6,90,8,0,True,True,False,False,False,True,False,False,False,True
3,6.387873943443403,2021,319,6,100,0,1,True,False,True,False,False,False,False,True,True,True
3,2.137322100703919,2020,320,5,90,6,1,True,False,True,False,True,False,False,False,False,True
3,1.9563235438743947,2022,307,6,100,4,0,True,False,False,False,False,True,False,True,True,False
3,1.8185765685602195,2022,303,7,90,5,1,False,False,True,False,False,False,False,True,True,False
3,2.713898724230936,2021,324,6,90,9,0,False,False,True,True,False,False,False,True,True,False
3,3.985589756493483,2020,318,5,100,8,1,True,True,False,False,False,False,False,True,True,True
3,3.509342176252604,2022,306,6,100,2,1,False,False,False,False,False,True,False,True,False,False
3,1.74618559025195,2021,306,8,100,5,1,True,True,False,True,False,False,False,False,True,False
3,1.0436112795489443,2020,300,8,100,6,0,True,True,False,False,False,False,False,True,False,True
3,0.10062249988956307,2021,318,9,90,1,0,False,True,False,False,False,True,False,True,True,False
3,1.2317059093320308,2020,316,9,90,5,1,True,True,False,True,False,False,False,False,True,True
3,5.642850961552946,2021,307,9,100,5,0,True,True,False,True,False,False,False,True,False,False
3,1.9491085547646634,2021,320,9,90,4,0,False,True,False,False,True,False,False,True,False,True
3,3.7488144809720785,2022,314,6,100,6,1,False,True,False,False,False,True,False,False,False,True
3,4.730409191385958,2022,319,5,100,8,1,False,False,False,False,True,False,False,True,False,False
3,7.094727222652857,2021,318,6,90,6,1,False,False,True,True,False,False,False,False,False,False
3,7.110840787147356,2020,306,5,90,1,1,False,True,False,True,False,False,False,False,True,False
3,5.965869869450872,2020,323,5,100,3,0,False,True,False,False,False,False,False,False,False,False
3,0.2812559363880114,2020,323,5,90,0,1,True,True,False,False,True,False,False,True,False,True
3,4.600563352683319,2020,312,5,100,1,0,False,True,False,False,False,False,True,False,False,True
3,6.292667766652052,2020,300,8,100,8,1,False,True,False,False,False,True,False,True,False,False
3,0.13830435810690567,2022,306,5,100,6,0,True,True,False,False,True,False,False,False,False,True
3,4.397476909252626,2021,304,6,100,7,0,True,False,True,True,False,False,False,False,False,False
3,6.8621131662882355,2022,317,5,90,7,0,False,False,True,False,False,False,False,False,True,True
3,3.7928166067381355,2020,307,8,90,1,0,True,True,False,False,False,True,False,True,False,False
3,0.03284962317958762,2021,314,6,90,4,0,True,False,True,False,False,True,False,False,False,False
3,0.08810686668485967,2020,317,7,100,0,1,True,False,False,False,False,False,False,True,True,True
3,3.3330882993100044,2020,305,6,100,8,0,True,True,False,True,False,False,False,False,True,True
